Date,Close,Open,High,Low,Change %,Daily Return (%),Volatility (7D),SMA (7D),SMA (30D),Forward Premia of US$ 1-month (%),Forward Premia of US$ 3-month (%),Forward Premia of US$ 6-month (%),Reverse Repo Rate (%),Marginal Standing Facility (MSF) Rate (%),Bank Rate (%),Base Rate (%),91-Day Treasury Bill (Primary) Yield (%),182-Day Treasury Bill (Primary) Yield (%),364-Day Treasury Bill (Primary) Yield (%),10-Year G-Sec Yield (FBIL) (%),Cash Reserve Ratio (%),Statutory Liquidity Ratio (%),Policy Repo Rate (%),"Foreign Exchange Reserves 
(US $ Million)"
24-05-2013,7.272,7.272,7.272,7.272,-0.0027,-0.002742732,0.022566304,7.265285714,7.439733333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
25-05-2013,7.272,7.272,7.272,7.272,0,0,0.019948744,7.262571429,7.427,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
27-05-2013,7.252,7.252,7.252,7.252,-0.0028,-0.002750275,0.019577684,7.259428571,7.4136,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
28-05-2013,7.252,7.252,7.252,7.252,0,0,0.018589552,7.260714286,7.4011,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
29-05-2013,7.298,7.298,7.298,7.298,0.0063,0.006343078,0.020391408,7.269142857,7.390766667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
30-05-2013,7.349,7.349,7.349,7.349,0.007,0.006988216,0.033716606,7.283857143,7.382133333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
31-05-2013,7.348,7.348,7.348,7.348,-0.0001,-0.000136073,0.041675047,7.291857143,7.374766667,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
03-06-2013,7.336,7.336,7.336,7.336,-0.0016,-0.001633097,0.043569867,7.301,7.3679,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
04-06-2013,7.347,7.347,7.347,7.347,0.0015,0.001499455,0.044462397,7.311714286,7.3614,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
05-06-2013,7.347,7.347,7.347,7.347,0,0,0.037084203,7.325285714,7.355533333,0.0462,0.0431,0.0433,0.0575,0.0625,0.0625,0.0895,0.060668,0.061812,0.062192,0.069071,0.04,0.2,0.06,400296.8
