Date,Price,Open,High,Low,Change %,Daily Return (%),Volatility (7D),SMA (7D),SMA (30D),Forward Premia of US$ 1-month (%),Forward Premia of US$ 3-month (%),Forward Premia of US$ 6-month (%),Reverse Repo Rate (%),Marginal Standing Facility (MSF) Rate (%),Bank Rate (%),Base Rate (%),91-Day Treasury Bill (Primary) Yield (%),182-Day Treasury Bill (Primary) Yield (%),364-Day Treasury Bill (Primary) Yield (%),10-Year G-Sec Yield (FBIL) (%),Cash Reserve Ratio (%),Statutory Liquidity Ratio (%),Policy Repo Rate (%),"Foreign Exchange Reserves 
(US $ Million)"
12-04-2013,7.869,7.869,7.869,7.869,-0.0039,-0.392405063,0.031063683,7.907571429,7.909633333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
15-04-2013,7.831,7.831,7.831,7.831,-0.0048,-0.482907612,0.032246078,7.888857143,7.907833333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
16-04-2013,7.823,7.823,7.823,7.823,-0.0010,-0.10215809,0.034481189,7.873428571,7.906233333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
17-04-2013,7.803,7.803,7.803,7.803,-0.0026,-0.255656398,0.038989009,7.858142857,7.904333333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
18-04-2013,7.777,7.777,7.777,7.777,-0.0033,-0.333205177,0.04754096,7.843142857,7.9015,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
19-04-2013,7.782,7.782,7.782,7.782,0.0006,0.064292144,0.045136302,7.826428571,7.8996,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
22-04-2013,7.753,7.753,7.753,7.753,-0.0037,-0.372654845,0.038978016,7.805428571,7.8967,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
23-04-2013,7.734,7.734,7.734,7.734,-0.0025,-0.245066426,0.03552665,7.786142857,7.891566667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
24-04-2013,7.739,7.739,7.739,7.739,0.0006,0.064649599,0.033100856,7.773,7.8861,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
25-04-2013,7.773,7.773,7.773,7.773,0.0044,0.439333247,0.024889279,7.765857143,7.883033333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
26-04-2013,7.743,7.743,7.743,7.743,-0.0039,-0.38595137,0.019771312,7.757285714,7.8791,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
